Document property,url,elements
title,http://www.konishizokei.co.jp/,"Element: img, id: title, name: title"
title,https://crest-ihec.jp/,"Element: img, id: title, name: title"
title,https://www.pro-fusiononline.com/,"Element: img, id: No id, name: title"
title,http://www.ssoc.chem.tohoku.ac.jp/,"Element: img, id: title, name: title"
title,https://www.shorelandmanagement.org/,"Element: img, id: No id, name: title"
head,https://sphere.gamexp.com/,"Element: embed, id: No id, name: head"
head,https://www.gomaths.ch/,"Element: form, id: No id, name: head"
head,https://gomaths.ch/,"Element: form, id: No id, name: head"
head,https://aimcontrollers.com/,"Element: img, id: header, name: head"
head,https://www.mettlerelectronics.com/,"Element: img, id: head, name: head"
links,https://nrpclassaction.com/,"Element: img, id: links, name: links"
links,https://12v.org/,"Element: img, id: No id, name: links"
links,https://www.chicotrujillo.com/,"Element: img, id: No id, name: links"
links,http://www.khrc.net/,"Element: img, id: No id, name: links"
links,http://www.atomica.co.uk/,"Element: form, id: No id, name: links"
domain,https://www.webusable.com/,"Element: img, id: No id, name: domain"
domain,https://isitdown.co.uk/,"Element: form, id: No id, name: domain"
domain,https://www.inventum.hr/,"Element: form, id: domain, name: domain"
domain,http://e.pl/,"Element: form, id: No id, name: domain"
domain,https://webusable.com/,"Element: img, id: No id, name: domain"
images,https://www.constantine-hier-aujourdhui.fr/,"Element: img, id: No id, name: images"
images,https://shadowshroud.com/,"Element: img, id: No id, name: images"
images,http://www.broadwaysalvage.com/,"Element: img, id: No id, name: images"
images,https://www.centredetirgranby.ca/,"Element: img, id: images, name: images"
all,https://www.tuemarkt.de/,"Element: form, id: typeName, name: all"
all,http://mackeyfi.somee.com/,"Element: iframe, id: No id, name: all"
forms,https://www.auto.co.il/,"Element: form, id: No id, name: forms"
